name_english;name_arabic;reference;y;x;description_english;priority;
Samothrace;سَامُوثْرَاكِي;Acts 16: 11;40.47894576;25.56230837;40.47894576327916, 25.562308376903683;;
Seleucia;سَلُوكِيَةَ;Acts 13: 4;36.1173214;35.9319102;36.11732140440805, 35.93191020247621;;
Sharon;سَارُونَ;Acts 9: 35;32.72592367;35.4678574;32.7259236713647, 35.46785742030221;;
Syracuse;سِرَاكُوسَا;Acts 28:  12;37.08694956;15.2805087;37.08694956764724, 15.280508754647828;;
Syria;سُورِيَّةَ;Acts 15: 23;;;;;
Tarsus;طَرْسُوسَ;Acts 9: 30;36.91720354;34.89222064;;;
Thessalonica;تَسَالُونِيكِي;Acts 17: 1;40.63554305;22.93689351;;;
Thyatira;ثَيَاتِيرَا;Acts 16: 14;38.9255239;27.85930258;;;
Troas;تَرُوَاسَ;Acts 16: 8;39.50531853;26.08196629;;;
Trogyllium;تُرُوجِيلِيُّونَ;Acts 20: 15;37.44474052;27.32165321;37.44474052329794, 27.321653211618145;;
Tyre;صُورَ;Acts 21: 3;33.27037423;35.20287468;;;
